Name,Subscription,ResourceGroupName,Location,OsType,Size,TargetSize,AvailabilitySet
VAAZTIAMAPP110,PROD-GOV-INTERNAL,ACSPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A2_v2,Standard_D2s_v3,ACSPROD2_AS_APP100_SSO
VAAZTIAMAPP300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_APP300_VALOGON
VAAZTIAMAPP301,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_APP300_VALOGON
VAAZTIAMAPP304,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_APP300_ESIG
VAAZTIAMAPP305,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_APP300_ESIG
VAAZTIAMAPP306,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A8_v2,Standard_F8,ACSPREPROD2_AS_APP300_AMS-VDT
VAAZTIAMAPP307,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A8_v2,Standard_F8,ACSPREPROD2_AS_APP300_AMS-VDT
VAAZTIAMAPP310,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A2_v2,Standard_F2,ACSPREPROD2_AS_APP300_SSO
VAAZTIAMASM300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_D4s_v3,
vaaztiamedb100,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,IAMSHARED_TX_AS_EDB100
VAAZTIAMFPS150,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_PS
VAAZTIAMFPS151,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_PS
VAAZTIAMFPS350,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMFPS351,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMFRP150,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMFRP151,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_WS
VAAZTIAMFRP350,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMFRP351,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMLDS300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_D4s_v3,
VAAZTIAMLDS301,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_D4s_v3,
VAAZTIAMLDS302,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_D4s_v3,
VAAZTIAMMAN150,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A8_v2,Standard_F8,VAAFIPROD2_AS_MAN350
VAAZTIAMMAN151,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_D4s_v3,
VAAZTIAMNSS01,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A2_v2,Standard_F2,IAMSHARED_TX_AS_NSS01
VAAZTIAMPDP300,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_PDP300
VAAZTIAMPDP301,PREPROD-GOV-INTERNAL,ACSPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Windows,Standard_A4_v2,Standard_F4,ACSPREPROD2_AS_PDP300
VAAZTIAMPPS150,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_PKI-PS
VAAZTIAMPPS151,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPROD2_AS_SAM150_PKI-PS
VAAZTIAMPPS350,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMPPS351,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMPRP150,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFPROD2_AS_SAM150_PKI-WS
VAAZTIAMPRP151,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFPROD2_AS_SAM150_PKI-WS
VAAZTIAMPRP350,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
VAAZTIAMPRP351,PREPROD-GOV-INTERNAL,VAAFIPREPRODDR-PROD-INT-SOUTH-RG,usgovtexas,Linux,Standard_A4_v2,Standard_F4,VAAFIPREPROD2_AS_SAM350
