"ResourceGroupName","Id","VmId","Name","Type","Location","LicenseType","Tags","AvailabilitySetReference","DiagnosticsProfile","Extensions","HardwareProfile","InstanceView","NetworkProfile","OSProfile","Plan","ProvisioningState","StorageProfile","DisplayHint","Identity","Zones","FullyQualifiedDomainName","AdditionalCapabilities","RequestId","StatusCode"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/DATABASELINEv2","0cb4c266-e17b-41b2-9743-be0e0a625f80","DATABASELINEv2","Microsoft.Compute/virtualMachines","usgovvirginia",,"System.Collections.Generic.Dictionary`2[System.String,System.String]",,"Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/tx-preprod","300c3b05-ef9e-434e-b7ff-601712027f3c","tx-preprod","Microsoft.Compute/virtualMachines","usgovtexas","Windows_Server","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/VAAZTIAMAPP300","a931353c-965c-4dc9-801e-836dc5df174c","VAAZTIAMAPP300","Microsoft.Compute/virtualMachines","usgovtexas","Windows_Server","System.Collections.Generic.Dictionary`2[System.String,System.String]","Microsoft.Azure.Management.Compute.Models.SubResource","Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/VAAZTIAMAPP301","60905c50-810f-4c2b-9f4e-5015492bd08f","VAAZTIAMAPP301","Microsoft.Compute/virtualMachines","usgovtexas","Windows_Server","System.Collections.Generic.Dictionary`2[System.String,System.String]","Microsoft.Azure.Management.Compute.Models.SubResource","Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/VAAZTIAMAPP304","2026187e-f521-454c-b9d4-1e534676a456","VAAZTIAMAPP304","Microsoft.Compute/virtualMachines","usgovtexas","Windows_Server","System.Collections.Generic.Dictionary`2[System.String,System.String]","Microsoft.Azure.Management.Compute.Models.SubResource","Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/VAAZTIAMAPP305","533a88d9-d2f8-4fab-9135-ab322aa77d56","VAAZTIAMAPP305","Microsoft.Compute/virtualMachines","usgovtexas","Windows_Server","System.Collections.Generic.Dictionary`2[System.String,System.String]","Microsoft.Azure.Management.Compute.Models.SubResource","Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/VAAZTIAMAPP306","81a8678f-8232-4d87-a045-50f4f929b89f","VAAZTIAMAPP306","Microsoft.Compute/virtualMachines","usgovtexas","Windows_Server","System.Collections.Generic.Dictionary`2[System.String,System.String]","Microsoft.Azure.Management.Compute.Models.SubResource","Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/VAAZTIAMAPP307","f5718ece-d178-4929-b07c-b35b79a4fef8","VAAZTIAMAPP307","Microsoft.Compute/virtualMachines","usgovtexas","Windows_Server","System.Collections.Generic.Dictionary`2[System.String,System.String]","Microsoft.Azure.Management.Compute.Models.SubResource","Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/VAAZTIAMAPP310","32c09766-25fb-4b7c-a3d1-62cc6ab632f0","VAAZTIAMAPP310","Microsoft.Compute/virtualMachines","usgovtexas",,"System.Collections.Generic.Dictionary`2[System.String,System.String]","Microsoft.Azure.Management.Compute.Models.SubResource","Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
"ACSPREPRODDR-PROD-INT-SOUTH-RG","/subscriptions/3b091b7b-37d8-4f17-aa4d-6fddfc5dd7c5/resourceGroups/ACSPREPRODDR-PROD-INT-SOUTH-RG/providers/Microsoft.Compute/virtualMachines/VAAZTIAMASM300","2f871f51-6c48-4d27-946c-3d7715438447","VAAZTIAMASM300","Microsoft.Compute/virtualMachines","usgovtexas","Windows_Server","System.Collections.Generic.Dictionary`2[System.String,System.String]",,"Microsoft.Azure.Management.Compute.Models.DiagnosticsProfile","System.Collections.Generic.List`1[Microsoft.Azure.Management.Compute.Models.VirtualMachineExtension]","Microsoft.Azure.Management.Compute.Models.HardwareProfile",,"Microsoft.Azure.Management.Compute.Models.NetworkProfile","Microsoft.Azure.Management.Compute.Models.OSProfile",,"Succeeded","Microsoft.Azure.Management.Compute.Models.StorageProfile","Compact",,"System.Collections.Generic.List`1[System.String]",,,"7023ed38-7a1d-4556-aff3-6178eeff5f49","OK"
