ServerName,Role,Group
vaaztiamAPP300,Compute,1
vaaztiamAPP301,Compute,2
vaaztiamAPP304,Compute,1
vaaztiamAPP305,Compute,2
vaaztiamAPP306,Compute,1
vaaztiamAPP307,Compute,2
vaaztiamapp310,Compute,3
vaaztiamapp375,Compute,2
vaaztiamapp376,Compute,1
vaaztiamASM300,Compute,1
vaaztiamldp350,Compute,2
vaaztiamldp351,Compute,1
vaaztiamldp352,Compute,2
vaaztiamldp353,Compute,1
vaaztiamLDS300,General,1
vaaztiamLDS301,Compute,1
vaaztiamLDS302,Compute,2
vaaztiamPDP300,Compute,1
vaaztiamPDP301,Compute,2
vaaztiampkdm350,Memory,3
vaaztiampkfm350,Memory,4
vaaztiampkfm351,Memory,3
vaaztiamspdm350 ,Memory,3
vaaztiamspdm356,Memory,3
vaaztiamspfm350,Memory,4
vaaztiamspfm351,Memory,3
vaaztiamspfm352,Memory,4
vaaztiamspfm353,Memory,3
vaaztiamspfm356,Memory,4
vaaztiamspfm357,Memory,3
vaaztiamSPS300,General,1
vaaztiamSPS301,General,2
vaaztiamsso300,Compute,3
vaaztiamsso301,Compute,4
vaaztiamsts350,General,2
vaaztiamsts351,General,1
vaaztiamsts352,General,2
vaaztiamsts353,General,1
vaaztiamTST300,Compute,3
vaaztiamUTL300,Compute,3
vaaztiamvwb350,Compute,2
vaaztiamvwb351,Compute,1
vaaztiamvwl350,Compute,2
vaaztiamvwl351,Compute,1
vaaztiamWEB300,Compute,1
vaaztiamWEB301,Compute,2
vaaztiamWEB302,Compute,1
vaaztiamWEB303,Compute,2
vaaztiamWEB304,Compute,1
vaaztiamWEB305,Compute,2
vaaztiamWEB306,Compute,1
vaaztiamWEB307,Compute,2
vaaztiamWEB308,Compute,1
vaaztiamWEB309,Compute,2
vaaztiamWEB310,Compute,1
vaaztiamWEB311,Compute,2
vaaztiamWEB312,Compute,1
vaaztiamWEB313,Compute,2
vaaztiamWEB314,Compute,1
vaaztiamWEB315,Compute,2
vaaztiamweb375,Compute,2
vaaztiamweb376,Compute,1
